2016 US Presidential Election,Trump,Clinton,Independent,
Jack,2973,314,52,
Rusk,14675,3935,384,
Grayson,35274,10276,1518,
Bailey,1343,397,44,
Comanche,4300,788,120,
Hartley,1727,172,46,
Karnes,2959,1144,82,
Live Oak,3450,739,78,
Waller,10525,5744,446,
Wilson,13991,4790,474,
Navarro,11984,3998,400,
Anderson,13165,3358,364,
Lee,4996,1372,154,
Freestone,5995,1461,152,
Galveston,73566,45503,4925,
Lamar,14546,3579,412,
Polk,26587,7123,734,
Coleman,3177,387,71,
Crockett,980,372,43,
Menard,681,153,26,
Houston,6205,1978,119,
